,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,mean_time,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,Education_2,Education_3,Education_4,EducationField_Life Sciences,EducationField_Medical,Gender_Female,Gender_Male,JobLevel_1,JobLevel_2,JobRole_Research Scientist,JobRole_Sales Executive,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,JobInvolvement_2,JobInvolvement_3,EnvironmentSatisfaction_1.0,EnvironmentSatisfaction_2.0,EnvironmentSatisfaction_3.0,EnvironmentSatisfaction_4.0,JobSatisfaction_1.0,JobSatisfaction_2.0,JobSatisfaction_3.0,JobSatisfaction_4.0,WorkLifeBalance_2.0,WorkLifeBalance_3.0,StockOptionLevel_0,StockOptionLevel_1
0,0.17857142857142855,0.6375460768825698,0.1111111111111111,0.0,0.27952755905511806,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
1,0.3214285714285714,0.16745655608214852,0.0,0.8571428571428571,0.3484251968503935,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
2,0.5714285714285714,0.9646656134807793,0.1111111111111111,0.2857142857142857,0.2086614173228345,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
3,0.03571428571428571,0.38504476040021063,0.3333333333333333,0.0,0.2440944881889764,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
4,0.3214285714285714,0.07019483938915219,0.4444444444444444,0.0714285714285714,0.405511811023622,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
5,0.25,0.16124275934702476,0.3333333333333333,0.1428571428571428,0.9547244094488192,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
6,0.35714285714285715,0.25297525013164823,0.2222222222222222,0.6428571428571427,0.19094488188976366,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
7,0.6071428571428571,0.11237493417588204,0.2222222222222222,0.7857142857142857,0.15354330708661412,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
8,0.0,0.054502369668246446,0.0,0.7142857142857143,0.25393700787401574,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
9,0.2142857142857143,0.6558715113217483,0.1111111111111111,0.1428571428571428,0.2224409448818896,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
