,Age,JobInvolvement_2,EnvironmentSatisfaction_4.0,MaritalStatus_Single,Education_3,EducationField_Medical,DistanceFromHome,BusinessTravel_Travel_Frequently,EducationField_Life Sciences,WorkLifeBalance_3.0,mean_time,EnvironmentSatisfaction_1.0,JobSatisfaction_3.0,MaritalStatus_Divorced,JobSatisfaction_1.0,WorkLifeBalance_1.0,Department_Sales,JobSatisfaction_4.0,Department_Human Resources,Education_2,YearsWithCurrManager,Gender_Male,Gender_Female,EnvironmentSatisfaction_3.0,JobLevel_1,WorkLifeBalance_2.0,JobInvolvement_3,Education_4,JobLevel_2,JobRole_Research Scientist,NumCompaniesWorked,BusinessTravel_Travel_Rarely,Department_Research & Development,JobRole_Sales Executive,YearsAtCompany,BusinessTravel_Non-Travel,MaritalStatus_Married,TotalWorkingYears,StockOptionLevel_0,EducationField_Human Resources,StockOptionLevel_1,JobSatisfaction_2.0,MonthlyIncome,EnvironmentSatisfaction_2.0
0,0.7857142857142856,0,0,0,0,0,0.17857142857142855,0,1,0,0.27952755905511806,0,0,0,0,0,1,1,0,1,0.0,0,1,1,1,1,1,0,0,0,0.1111111111111111,1,0,0,0.025,0,1,0.025,1,0,0,0,0.6375460768825698,0
1,0.3095238095238095,1,0,1,0,0,0.3214285714285714,1,1,0,0.3484251968503935,0,0,0,0,0,0,0,0,0,0.23529411764705882,0,1,1,1,0,0,0,0,1,0.0,0,1,0,0.125,0,0,0.15000000000000002,0,0,1,1,0.16745655608214852,0
2,0.3333333333333333,0,0,0,0,0,0.5714285714285714,1,0,0,0.2086614173228345,0,0,0,0,1,0,0,0,0,0.1764705882352941,1,0,0,0,0,1,1,0,0,0.1111111111111111,0,1,1,0.125,0,1,0.125,0,0,0,1,0.9646656134807793,1
3,0.4761904761904761,1,1,0,0,0,0.03571428571428571,0,1,1,0.2440944881889764,0,0,0,0,0,0,1,0,0,0.29411764705882354,1,0,0,0,0,0,0,0,0,0.3333333333333333,0,1,0,0.2,1,1,0.325,0,0,0,0,0.38504476040021063,0
4,0.3333333333333333,0,1,1,0,1,0.3214285714285714,0,0,1,0.405511811023622,0,0,0,1,0,0,0,0,0,0.23529411764705882,1,0,0,1,0,1,0,0,0,0.4444444444444444,1,1,1,0.15000000000000002,0,0,0.225,0,0,0,0,0.07019483938915219,0
5,0.6666666666666665,0,0,0,1,0,0.25,0,1,0,0.9547244094488192,0,0,0,0,0,0,0,0,0,0.4117647058823529,0,1,1,0,1,1,0,0,0,0.3333333333333333,1,1,0,0.17500000000000002,0,1,0.7000000000000001,1,0,0,1,0.16124275934702476,0
6,0.23809523809523808,0,0,1,0,1,0.35714285714285715,0,0,0,0.19094488188976366,1,1,0,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,1,0,0.2222222222222222,1,1,1,0.0,0,0,0.125,0,0,1,0,0.25297525013164823,0
7,0.2619047619047619,0,0,0,1,0,0.6071428571428571,0,1,1,0.15354330708661412,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0.2222222222222222,1,1,1,0.0,0,1,0.25,0,0,0,1,0.11237493417588204,0
8,0.3095238095238095,0,0,0,1,0,0.0,0,1,1,0.25393700787401574,0,0,0,0,0,0,1,0,0,0.47058823529411764,1,0,0,0,0,1,0,0,0,0.0,1,1,0,0.225,0,1,0.25,1,0,0,0,0.054502369668246446,1
9,0.16666666666666669,0,0,0,0,1,0.2142857142857143,0,0,1,0.2224409448818896,0,0,1,1,0,0,0,0,0,0.29411764705882354,0,1,0,0,0,1,1,0,0,0.1111111111111111,0,1,0,0.15000000000000002,1,0,0.15000000000000002,0,0,1,0,0.6558715113217483,1
10,0.6428571428571428,1,0,0,0,1,0.5714285714285714,0,0,1,0.48228346456692917,0,0,0,0,0,0,1,0,1,0.5882352941176471,1,0,1,0,0,0,0,1,0,0.0,1,1,0,0.5,0,1,0.525,0,0,0,0,0.36766719325961034,0
11,0.42857142857142855,0,0,0,0,0,0.9642857142857143,0,1,1,0.22047244094488194,0,0,0,0,0,0,1,0,0,0.6470588235294118,1,0,1,1,0,1,0,0,0,0.0,1,1,0,0.375,0,1,0.4,0,0,0,0,0.12469720905739864,0
12,0.8809523809523809,0,1,1,0,0,0.4642857142857143,0,1,1,0.659448818897638,0,0,0,1,0,0,0,0,0,0.7647058823529411,0,1,0,1,0,1,1,0,0,0.0,1,1,1,0.9,0,0,0.925,1,0,0,0,0.23849394418114797,0
13,0.6904761904761905,1,0,0,0,1,0.0,0,0,0,0.6791338582677167,1,0,0,0,0,0,0,0,0,0.5294117647058824,1,0,0,1,1,0,0,0,1,0.1111111111111111,0,1,0,0.25,1,1,0.25,0,0,0,1,0.25028962611901,0
14,0.23809523809523808,0,1,0,1,0,0.0,0,1,0,0.027559055118110187,0,0,0,0,0,0,1,0,0,0.23529411764705882,1,0,0,1,1,1,0,0,0,0.1111111111111111,1,1,0,0.125,0,1,0.125,1,0,0,0,0.08335966298051606,0
15,0.4523809523809524,0,0,0,1,0,0.0,0,1,0,0.14960629921259838,0,0,0,0,0,0,1,0,0,0.058823529411764705,1,0,1,0,0,1,0,1,0,0.4444444444444444,1,1,0,0.125,0,1,0.17500000000000002,1,0,0,0,0.22838335966298054,0
16,0.07142857142857145,1,1,1,0,0,0.07142857142857142,0,1,0,0.13188976377952755,0,1,0,0,0,0,0,0,1,0.0,1,0,0,1,0,0,0,0,0,0.1111111111111111,1,1,0,0.07500000000000001,0,0,0.07500000000000001,0,0,0,0,0.16872037914691945,0
17,0.4523809523809524,0,0,0,1,1,0.0,0,0,1,0.9960629921259845,1,0,1,0,0,0,1,0,0,0.11764705882352941,1,0,0,0,0,1,0,1,0,0.2222222222222222,0,1,1,0.125,1,0,0.375,0,0,1,0,0.16419167983149027,0
18,0.4047619047619047,1,0,0,0,0,0.2142857142857143,0,1,0,0.19881889763779514,0,0,1,0,0,1,0,0,0,0.11764705882352941,1,0,0,1,1,0,1,0,0,0.7777777777777777,1,0,0,0.17500000000000002,0,0,0.25,1,0,0,1,0.07525013164823594,1
19,0.4761904761904761,0,0,0,1,0,0.25,0,1,1,0.6574803149606299,1,0,1,1,0,0,0,0,0,0.4117647058823529,0,1,0,1,0,1,0,0,0,0.1111111111111111,1,1,0,0.2,0,0,0.2,0,0,1,0,0.3086361242759347,0
20,0.19047619047619052,0,0,0,0,0,0.0,1,0,0,0.3228346456692912,0,0,1,0,1,0,0,0,0,0.23529411764705882,1,0,1,0,0,1,1,1,0,0.1111111111111111,0,1,0,0.15000000000000002,0,0,0.15000000000000002,1,0,0,1,0.496998420221169,0
21,0.7619047619047619,1,0,0,0,0,0.25,0,1,0,0.011811023622047001,1,0,1,0,0,1,0,0,0,0.3529411764705882,1,0,0,1,1,0,1,0,1,0.3333333333333333,1,0,0,0.25,0,0,0.7000000000000001,1,0,0,1,0.4559241706161138,0
22,0.8333333333333333,0,0,0,0,0,0.35714285714285715,0,1,0,0.48228346456692917,0,1,0,0,0,0,0,0,0,0.1764705882352941,0,1,1,0,1,1,1,1,1,0.3333333333333333,1,1,0,0.125,0,1,0.525,1,0,0,0,0.05997893628225382,0
23,0.5714285714285714,0,0,0,0,0,0.10714285714285714,0,1,1,0.1692913385826771,0,1,0,0,0,0,0,0,0,0.3529411764705882,1,0,0,1,0,0,1,0,0,0.1111111111111111,1,1,0,0.5,0,1,0.25,1,0,0,0,0.4169036334913112,1
24,0.2619047619047619,0,0,1,0,1,0.5357142857142857,1,0,0,0.22440944881889746,0,0,0,0,0,0,1,0,0,0.5294117647058824,1,0,0,1,1,1,1,0,0,0.1111111111111111,0,1,0,0.25,0,0,0.25,0,0,1,0,0.28983675618746707,1
25,0.8809523809523809,0,0,0,0,0,0.0,0,0,1,0.671259842519685,0,0,0,0,0,0,1,0,0,0.47058823529411764,0,1,0,1,0,1,1,0,1,0.3333333333333333,1,1,0,0.25,0,1,0.30000000000000004,1,0,0,0,0.3048973143759873,1
26,0.19047619047619052,0,0,0,1,0,0.2857142857142857,1,1,1,0.9901574803149609,1,0,0,1,0,0,0,0,0,0.1764705882352941,0,1,0,1,0,1,0,0,0,0.1111111111111111,0,1,0,0.125,0,1,0.125,1,0,0,0,0.804739336492891,0
27,0.4523809523809524,0,1,1,0,0,0.14285714285714285,0,0,1,0.3267716535433072,0,0,0,0,0,1,1,0,0,0.4117647058823529,1,0,0,1,0,1,0,0,1,0.1111111111111111,1,0,0,0.42500000000000004,0,0,0.42500000000000004,1,0,0,0,0.08931016324381255,0
28,0.6190476190476188,1,1,0,0,1,0.0,1,0,0,0.9901574803149609,0,1,1,0,1,0,0,0,1,0.0,1,0,0,0,0,0,0,1,1,0.3333333333333333,0,1,0,0.025,0,0,0.47500000000000003,0,0,1,0,0.49099526066350707,0
29,0.4761904761904761,1,1,0,1,0,0.03571428571428571,0,0,1,0.17322834645669283,0,0,1,0,0,1,1,0,0,0.11764705882352941,0,1,0,1,0,0,0,0,0,1.0,1,0,0,0.05,0,0,0.25,1,0,0,0,0.1810953133228015,0
30,0.19047619047619052,1,0,0,1,1,0.10714285714285714,0,0,1,0.8188976377952755,1,0,1,0,0,0,0,0,0,0.11764705882352941,1,0,0,0,0,0,0,0,1,0.2222222222222222,1,1,0,0.07500000000000001,0,0,0.125,1,0,0,1,0.3077935755660874,0
